node,degree_centrality,weighted_degree,betweenness,pagerank,clustering,Name,isAlive
Chett,0.010852713178294573,44,0.00012369731124097733,0.0014248275276390397,0.05733355440892233,Chett,0
Aggo,0.010852713178294573,33,2.467651480591972e-05,0.0011312385892630658,0.05179582340216529,Aggo,1
Jhogo,0.012403100775193798,38,1.3561879082607089e-05,0.0012471445727995,0.04555816412636378,Jhogo,1
Quaro,0.007751937984496124,21,2.1666907410082333e-06,0.0008228184322013435,0.04842361680184721,Quaro,0
Albett,0.004651162790697674,11,0.0,0.0005149071407796717,0.04614183716124901,Albett,1
Halder,0.012403100775193798,36,6.92206464631714e-05,0.001141353438545152,0.04412543711364506,Halder,1
Rast,0.009302325581395349,26,3.71777152074711e-05,0.0008894716140326463,0.05145405593900447,Rast,0
Tomard,0.010852713178294573,42,0.00022995585353407402,0.0013076572091474054,0.05026854207244903,Tomard,0
Desmond,0.0031007751937984496,7,0.0,0.0004040887523231216,0.050122501760286854,Desmond,0
Hali,0.0015503875968992248,3,0.0,0.00029751249752582815,0.0,Hali,0
Hodor,0.015503875968992248,186,0.0001148055142430105,0.004198858912574205,0.11887401923329713,Hodor,1
Hullen,0.009302325581395349,20,7.961486393303187e-05,0.0006899276373854622,0.04041288447912746,Hullen,0
Joseth,0.0031007751937984496,7,0.0,0.0003834163791052729,0.10229138251536804,Joseth,1
Nan,0.012403100775193798,46,0.0010153458162998946,0.0013698211824277311,0.04397010073613393,Nan,1
Bronn,0.03875968992248062,126,0.003951013127130241,0.0034876558073038857,0.015819056584534027,Bronn,1
Chiggen,0.004651162790697674,16,0.0,0.0006193021748694117,0.05733384346594225,Chiggen,0
Marillion,0.013953488372093023,54,0.00013478991493402097,0.001511127317584277,0.05166175770034228,Marillion,0
Cayn,0.004651162790697674,16,1.4632718301647957e-05,0.0006412460983909155,0.053374750452329034,Cayn,0
Cohollo,0.006201550387596899,29,0.0,0.0010204654871818575,0.10038960450154355,Cohollo,0
Conn,0.004651162790697674,20,0.0031007751937984496,0.0011161014018032898,0.03743653621631156,Conn,0
Coratt,0.0015503875968992248,5,0.0,0.00046930335127443073,0.0,Coratt,1
Eroeh,0.0015503875968992248,5,0.0,0.00036172233931612964,0.0,Eroeh,0
Jhiqui,0.012403100775193798,64,2.5839793281653743e-05,0.0018787958895153658,0.06782903796450968,Jhiqui,1
Dareon,0.009302325581395349,53,0.0043431652711831735,0.0016751201521685425,0.06855922664739529,Dareon,0
Dolf,0.0015503875968992248,3,0.0,0.00034807209576311553,0.0,Dolf,1
Jommo,0.0031007751937984496,6,0.0,0.0004759682955827139,0.05573572300220172,Jommo,1
Ogo,0.004651162790697674,18,0.0031007751937984496,0.0011227397986072782,0.01857857433406724,Ogo,0
Jacks,0.0015503875968992248,4,0.0,0.0003337756131760037,0.0,Jacks,1
Joss,0.0015503875968992248,5,0.0,0.00035916998086628945,0.0,Joss,1
Porther,0.0015503875968992248,4,0.0,0.0003337756131760037,0.0,Porther,1
Tregar,0.0015503875968992248,4,0.0,0.0003337756131760037,0.0,Tregar,0
Varly,0.0015503875968992248,4,0.0,0.0003337756131760037,0.0,Varly,0
Wylla,0.0015503875968992248,3,0.0,0.00030838124548571795,0.0,Wylla,1
Fogo,0.0015503875968992248,4,0.0,0.0004443123626803684,0.0,Fogo,0
Todder,0.006201550387596899,31,0.0,0.0009601653905714782,0.08596498860666878,Todder,1
Heward,0.0031007751937984496,8,0.0,0.0004598193777708915,0.053992828271773076,Heward,0
Matthar,0.0015503875968992248,3,0.0,0.0003010014125780862,0.0,Matthar,1
Othor,0.0015503875968992248,5,0.0,0.0003468702593535698,0.0,Othor,0
Jyck,0.0031007751937984496,11,0.0,0.0006181784826047615,0.06401557645678381,Jyck,0
Morrec,0.0031007751937984496,10,0.0,0.0005853650732330712,0.06401557645678381,Morrec,0
Kurleket,0.0015503875968992248,5,0.0,0.00034657385471470047,0.0,Kurleket,0
Timett,0.006201550387596899,22,3.7407497155458934e-05,0.0007970408226236138,0.056337388282217044,Timett,1
