name,isAlive
Viserys II Targaryen,0
Walder Frey,1
Addison Hill,1
Aemma Arryn,0
Sylva Santagar,1
Tommen Baratheon,1
Valarr Targaryen,0
Viserys I Targaryen,0
Wilbert,0
Wilbert Osgrey,1
Will,0
Will (orphan),1
Will (squire),1
Will (Standfast),1
Will (Treb),1
Will Humble,1
Willam,1
Willem Wylde,1
Willifer,1
Willit,1
Willis Wode,1
Willis Fell,1
Willow Heddle,1
Willum,1
Wolmer,1
Willow Witch-eye,0
Woth,0
Wulfe,1
Wyl the Whittler,1
Wyl (guard),0
Wyl Waynwood,0
Wun Weg Wun Dar Wun,1
Wylla,1
Wynafryd Manderly,1
Xhondo,1
Ygon Farwynd,1
Yna,1
Yohn Farwynd,1
Yorkel,1
Yorko Terys,1
Yormwell,1
Young Henly,0
Ysilla,1
Zarabelo,1
Zei,1
Zekko,1
Zharaq zo Loraq,1
Wenda,1
Wex Pyke,1
Timett,1
Joffrey Baratheon,0
Laenor Velaryon,0
Leobald Tallhart,0
Maegor I Targaryen,0
Margaery Tyrell,1
Naerys Targaryen,0
Quence,1
Quellon Botley,1
Quellon Greyjoy,0
Quentyn Blackwood,0
Quenton Greyjoy,1
Quhuru Mo,1
Quickfinger,1
Quill,1
Quentin Tyrell,1
Quort,0
Qyle,0
Rafe,1
Racallio Ryndoon,1
Ragnor Pyke,1
Rainbow Knight,1
Randa,1
Rast,0
Rawney,1
Raymar Royce,1
Raymond Nayland,1
Raymund Tyrell,1
Red Oarsman,1
Red Lamb,1
Redtusk,1
Red Rolfe,0
Redwyn,1
Reynard Webber,1
Reysen,1
Rhaegel Targaryen,0
Rhaena Targaryen (daughter of Daemon),0
Rhaena Targaryen (daughter of Aegon III),0
Rhaenys Targaryen,0
Rhaenys Targaryen (daughter of Rhaegar),0
Rhialta Vance,1
Rhaenys Targaryen (daughter of Aemon),0
Rhonda Rowan,1
Richard Farrow,0
Richard Lonmouth,1
Rigney,1
Rob,1
Rickard Tyrell,1
Robb Reyne,1
Robert Ashford,1
Robert Brax (son of Flement),1
Robert Paege,1
Robb Stark,0
Robin,1
Robert Frey (son of Raymund),1
Robin Greyjoy,1
Robin Hollard,1
Rodrik Freeborn,1
Roelle,1
Rodrik Stark (son of Beron),1
Roger of Pennytree,0
Roggo,1
Roger Ryswell,1
Rolder,1
Roland Crakehall (Kingsguard),1
Rolfe,1
Rolland Darklyn,1
Rollam Westerling,1
Romny Weaver,1
Ronald Storm,1
Ronnel Stout,1
Ronnel Harclay,1
Roone,1
Roone (maester),1
Roryn Drumm,1
Roose Ryswell,1
Rosamund Lannister,1
Rosey,1
Rowan,0
Rudge,1
Runciter,0
Rupert Crabb,1
Rus,1
Rusty Flowers,1
Ryam,1
Ryk,1
Ryles,0
Rymolf,1
S'vrone,1
Saathos,1
Sailor's Wife,1
Sallor,0
Salloreon,1
Sam Stoops,1
Samwell Spicer,1
Sargon Botley,1
Scarb,1
Sawwood,1
Sedgekins,1
Sefton Staunton,1
Serra,1
Sharna,1
Shella,1
Sherrit,1
Shortear,1
Shyra,1
Sigfry Stonetree,1
Sigrin,1
Simon Leygood,1
Sky Blue Su,1
Skinner,1
Skittrick,1
Skyte,1
Sloey,1
Spare Boot,1
Softfoot,0
Spotted Pate of Maidenpool,0
Squint,0
Squirrel,0
Steffarion Sparr,1
Stafford Lannister,0
Steffon Fossoway,1
Steffon Hollard,1
Stannis Baratheon,1
Steffon Varner,1
Stone Thumbs,0
Stonehand,1
Sybassion,1
Sylas,0
Symon Stripeback,1
Symond Botley,1
Tagganaro,1
Tal Toraq,1
Talea,1
Talla Tarly,1
Tansy,1
Tansy (orphan),1
Tarber,1
Terrance Lynderly,1
Terro,1
Theo Frey,1
Theobald,1
Thistle,0
Theon Stark,1
Thormor Ironmaker,1
Tim Stone,1
Timon,1
Timett (father),1
Timoth,1
Tobbot,1
Toefinger,1
Todric,0
Tom Costayne,1
TomToo,1
Tommard Heddle,0
Toregg,1
Torrek,1
Tothmure,0
Torrhen Stark,1
Tregar,0
Tregar Ormollen,1
Tristan Ryger,1
Tristifer V Mudd,1
Tristimun,1
Tristifer IV Mudd,0
Tuffleberry,1
Tumberjon,1
Tumco Lho,1
Turnip,1
